team1,team2,result1,result2,date_of_match,reference
WINDINGO,ex-Holkattes,2,0,2022-08-22,/matches/2358193/windingo-vs-ex-holkattes-cct-south-america-series-1
Redragon,Stars Horizon,0,2,2022-08-22,/matches/2358192/redragon-vs-stars-horizon-cct-south-america-series-1
fnatic,K23,16,14,2022-08-22,/matches/2358041/fnatic-vs-k23-iem-road-to-rio-2022-europe-open-qualifier-2
Monte,forZe,8,16,2022-08-22,/matches/2358040/monte-vs-forze-iem-road-to-rio-2022-europe-open-qualifier-2
K23,forZe,16,13,2022-08-22,/matches/2358038/k23-vs-forze-iem-road-to-rio-2022-europe-open-qualifier-2
Monte,fnatic,3,16,2022-08-22,/matches/2358039/monte-vs-fnatic-iem-road-to-rio-2022-europe-open-qualifier-2
Aurora,Sampi,2,0,2022-08-22,/matches/2357862/aurora-vs-sampi-cct-central-europe-series-1
Meta BR,SWS,2,0,2022-08-22,/matches/2358194/meta-br-vs-sws-cct-south-america-series-1
Enterprise,Beyond Possible,2,1,2022-08-22,/matches/2357861/enterprise-vs-beyond-possible-cct-central-europe-series-1
Hotspurs,777,2,0,2022-08-22,/matches/2358068/hotspurs-vs-777-elisa-invitational-fall-2022-contenders
Bandits,VERTEX,4,16,2022-08-22,/matches/2358054/bandits-vs-vertex-iem-road-to-rio-2022-oceania-open-qualifier-2
Antic,Morbin5,16,10,2022-08-22,/matches/2358056/antic-vs-morbin5-iem-road-to-rio-2022-oceania-open-qualifier-2
DGG,yellow,16,9,2022-08-22,/matches/2358057/dgg-vs-yellow-iem-road-to-rio-2022-oceania-open-qualifier-2
SKADE X,yodagus,2,1,2022-08-22,/matches/2358067/skade-x-vs-yodagus-elisa-invitational-fall-2022-contenders
Encore,CAMO,16,3,2022-08-22,/matches/2358055/encore-vs-camo-iem-road-to-rio-2022-oceania-open-qualifier-2
SKADE,MASONIC,2,0,2022-08-22,/matches/2357860/skade-vs-masonic-cct-central-europe-series-1
ARCTIC,Fluxo,9,16,2022-08-22,/matches/2358005/arctic-vs-fluxo-iem-road-to-rio-2022-south-america-open-qualifier-2
9z,B4,16,9,2022-08-22,/matches/2358003/9z-vs-b4-iem-road-to-rio-2022-south-america-open-qualifier-2
Los Grandes,O PLANO,6,16,2022-08-22,/matches/2358006/los-grandes-vs-o-plano-iem-road-to-rio-2022-south-america-open-qualifier-2
ODDIK,Case,14,16,2022-08-22,/matches/2358004/oddik-vs-case-iem-road-to-rio-2022-south-america-open-qualifier-2
Fluxo,Boca Juniors,16,3,2022-08-22,/matches/2357999/fluxo-vs-boca-juniors-iem-road-to-rio-2022-south-america-open-qualifier-2
B4,Isurus,19,16,2022-08-22,/matches/2357996/b4-vs-isurus-iem-road-to-rio-2022-south-america-open-qualifier-2
Arvum,O PLANO,11,16,2022-08-22,/matches/2358001/arvum-vs-o-plano-iem-road-to-rio-2022-south-america-open-qualifier-2
ARCTIC,WINDINGO,16,14,2022-08-22,/matches/2358000/arctic-vs-windingo-iem-road-to-rio-2022-south-america-open-qualifier-2
Case,SWS,19,15,2022-08-22,/matches/2357997/case-vs-sws-iem-road-to-rio-2022-south-america-open-qualifier-2
ODDIK,Redragon,16,14,2022-08-22,/matches/2357998/oddik-vs-redragon-iem-road-to-rio-2022-south-america-open-qualifier-2
9z,Sharks,16,11,2022-08-22,/matches/2357995/9z-vs-sharks-iem-road-to-rio-2022-south-america-open-qualifier-2
Brazen,Electrify Steel,2,0,2022-08-22,/matches/2357975/brazen-vs-electrify-steel-egl-premier-season-3
Paquetá,Los Grandes,5,16,2022-08-22,/matches/2358002/paquet-vs-los-grandes-iem-road-to-rio-2022-south-america-open-qualifier-2
River Plate,Rehl,2,0,2022-08-22,/matches/2358191/river-plate-vs-rehl-cct-south-america-series-1
fnatic,HAVU,2,0,2022-08-22,/matches/2358036/fnatic-vs-havu-iem-road-to-rio-2022-europe-open-qualifier-2
