,team1,team2,result1,result2,date_of_match,reference
0,Boca Juniors,WINDINGO,0,2,2022-09-15,/matches/2358858/boca-juniors-vs-windingo-cct-south-america-series-2
1,GoodJob,RCL,3,1,2022-09-15,/matches/2358893/goodjob-vs-rcl-pari-patriki-vibe-lan-2022
2,ODDIK,Furious,16,13,2022-09-15,/matches/2358605/oddik-vs-furious-fireleague-latin-power-fall-2022-blast-premier-qualifier
3,PGE Turow,SC,16,14,2022-09-15,/matches/2358896/pge-turow-vs-sc-gam3rs-x-eu-champions-fall-2022-blast-premier-qualifier
4,9z,Mad Kings,16,2,2022-09-15,/matches/2358603/9z-vs-mad-kings-fireleague-latin-power-fall-2022-blast-premier-qualifier
5,ENCE,Heroic,0,2,2022-09-15,/matches/2357728/ence-vs-heroic-esl-pro-league-season-16
6,Fluxo,WINDINGO,19,16,2022-09-15,/matches/2358604/fluxo-vs-windingo-fireleague-latin-power-fall-2022-blast-premier-qualifier
7,SC,EKO,16,13,2022-09-15,/matches/2358895/sc-vs-eko-gam3rs-x-eu-champions-fall-2022-blast-premier-qualifier
8,Entropiq Prague,eSuba,0,2,2022-09-15,/matches/2358872/entropiq-prague-vs-esuba-cct-central-europe-series-2-closed-qualifier
9,Genk,EC Brugge,2,1,2022-09-15,/matches/2358831/genk-vs-ec-brugge-betfirst-elite-series-summer-split-2022
10,The Union,Furious,0,1,2022-09-15,/matches/2358857/the-union-vs-furious-cct-south-america-series-2
11,PGE Turow,Sangal,2,16,2022-09-15,/matches/2358894/pge-turow-vs-sangal-gam3rs-x-eu-champions-fall-2022-blast-premier-qualifier
12,Sangal,EKO,16,8,2022-09-15,/matches/2358842/sangal-vs-eko-gam3rs-x-eu-champions-fall-2022-blast-premier-qualifier
13,ECLOT,HONORIS,0,2,2022-09-15,/matches/2358871/eclot-vs-honoris-cct-central-europe-series-2-closed-qualifier
14,Endpoint,SKADE X,2,0,2022-09-15,/matches/2358693/endpoint-vs-skade-x-elisa-invitational-fall-2022
15,Complexity,HEET,2,0,2022-09-15,/matches/2357727/complexity-vs-heet-esl-pro-league-season-16
