,0
ECLOT,41
BLUEJAYS,35
Tricked,30
TeamOne,37
The Union,27
ECSTATIC,29
1WIN,27
MIBR,25
Paquetá,23
Sprout,24
MOUZ,22
eSuba,26
OG,22
fnatic,24
Into the Breach,29
fnatic Rising,24
Complexity,20
EYEBALLERS,25
Strife,22
Eternal Fire,35
SINNERS,27
Davenport University,20
ex-SKADE,19
Isurus,32
ODDIK,24
FaZe,15
BHOP,32
Fluxo,34
paiN,21
ARCTIC,16
ENCE,16
SC,26
Detonate,22
Meta BR,25
SAW,23
Finest,15
Enterprise,25
Astralis,23
K23,20
Natus Vincere,15
ATK,26
MASONIC,25
Ninjas in Pyjamas,16
9z,18
Illuminar,27
Vitality,19
Infinity,21
Falcons,18
Iron Blood,17
forZe,21
BIG Academy,18
Imperial,14
Heroic,19
EG Black,17
Liquid,18
WINDINGO,17
Aurora,23
Mythic,17
B8,21
G2,16
TAG,15
Cloud9,12
EC Brugge,16
HONORIS,20
los kogutos,19
Apeks,18
Nouns,17
LDLC,14
X13,17
Entropiq,18
9 Pandas,14
Sangal,29
Young Ninjas,16
HEET,22
Entropiq Prague,17
Daotsu,21
Endpoint,17
Monte,24
EC Kyiv,17
AVANGAR,17
AGO,12
Grayhound,13
Copenhagen Flames,13
Corinthians,11
O PLANO,17
Vendetta,17
Outsiders,17
Bad News Eagles,17
Antic,10
NeedDOCTOR,13
Villainous Union,16
MIBR Academy,16
Spirit,13
ALTERNATE aTTaX,9
IHC,7
Boca Juniors,12
Evil Geniuses,16
Iron Branch,19
SKADE,16
Unjustified,12
UNGENTIUM,16
Sharks,16
TITANS,13
DGG,13
Zero Tenacity,13
Rooster,10
PROSPECTS,20
Sampi,11
Furious,15
EG White,13
VERTEX,13
Victorum,24
SKADE X,12
PALOMA,10
Encore,13
GamerLegion,15
BIG,14
Sashi,18
Nexus,14
Redragon,12
Forward,8
JiJieHao International,8
HAVU,15
Los Grandes Academy,10
kennyS' Team,6
Brazen,18
Anonymo,14
Movistar Riders,11
Nixuh,9
Limitless,12
Partizan,14
Kari,11
Electrify Steel,12
NAVI Junior,9
NEO's Team,6
GoodJob,9
ex-Finest,5
1PIN,9
Beyond Possible,13
OneTap,12
FURIA,10
FANTASY,8
Red Wolves,10
Flames Ascent,8
JANO,10
EKO,11
OG Academy,9
X,15
Websterz,8
Atlantic,5
MOB,7
Spirit Academy,7
Hotspurs,8
Phantom Troupe,9
KOVA,7
BLVKHVND,9
Rehl,7
Snakes Den,11
HOTU,10
IKLA,8
PACT,14
Lynn Vision,4
B4,10
Arvum,7
ThunderFlash,4
Cryptova,11
FTW,10
Sojoga,12
River Plate,8
Take Flyte,7
Stars Horizon,11
yellow,8
0to100,10
NASR,10
Astralis Talent,12
CEPTER,4
Maikelele's Team,6
9INE,13
Case,4
9z Academy,4
DNMK,5
ORDER,4
FURIA Academy,9
Apeks Rebels,4
777,13
Rare Atom,7
VP.Prodigy,4
Genk,4
SWS,11
ARAVT,7
ENCE Academy,5
TYLOO,6
Magic School Bus,4
SNOGARD Dragons,4
LF0,5
timbermen,12
B4 Academy,4
ONYX,7
Strive in chaos,6
Goliath,6
Portuguese Family,5
Eros,5
Lilmix,10
00NATION,10
REIGN,8
Ooredoo Thunders,3
PGE Turow,4
Ape Gang,6
John Industries,2
Budapest Five,3
Argon,2
ex-Holkattes,8
Elemental,4
Task Force 141,4
KTRL,8
Benched Heroes,5
allStars,6
Hatred,3
gothboiclique,3
SHAPE,4
Gaimin Gladiators,4
Aseris,2
homeless,3
xDDDD,6
premghouls,3
FUSION,7
NKT,6
Brosskiez,4
Pete's Hookah Lounge,4
AirBNB Incident,4
Edward's Team,9
Squirtle Squad,6
Ambush,4
D13,4
gold medalists,3
blingus,3
Bravado,7
Dobegaem,2
IMMA PROBLEM,3
Austria,3
163ON,3
BLINK,8
Foggy,4
AVEZ,4
Leicester 5,2
RCL,11
JPB,5
Wolsung,7
Nut-E,6
CAMO,5
gamers innit,2
Neon Rangers,1
CENTER,2
Kyoto,2
CR,2
GenOne,2
BEBRA,3
Warriors,5
HeatoN's Team,5
pashaBiceps' Team,5
loloNaMente,1
DNA,5
Nigma Galaxy,4
God's Work,3
Esoteric,3
Russia U18,1
Mad Kings,10
