matchId,date,Dust2,Vertigo,Overpass,Inferno,Nuke,Ancient,Mirage,Anubis,name,teamWin,roundsWins
2360059,2022-11-27,removed,other,picked,other,removed,other,left,not_included,Heroic,true,47
2360059,2022-11-27,other,removed,other,picked,other,removed,left,not_included,FaZe,false,43
2360058,2022-11-26,other,removed,other,removed,picked,other,left,not_included,FaZe,true,46
2360058,2022-11-26,removed,other,picked,other,other,removed,left,not_included,Ninjas in Pyjamas,false,41
2360386,2022-11-28,not_included,picked,left,other,other,other,removed,removed,MIBR,true,46
2360386,2022-11-28,not_included,other,left,picked,removed,removed,other,other,EG Black,false,31
2360361,2022-11-28,other,removed,other,other,picked,removed,left,not_included,Orion,true,44
2360361,2022-11-28,removed,other,picked,removed,other,other,left,not_included,New Threat,false,40
2360385,2022-11-28,not_included,other,picked,removed,other,left,other,removed,Complexity,true,46
2360385,2022-11-28,not_included,removed,other,other,removed,left,picked,other,ATK,false,30
2360362,2022-11-28,removed,removed,other,left,other,picked,other,not_included,Red Wolves,true,32
2360362,2022-11-28,other,other,removed,left,removed,other,picked,not_included,Magic School Bus,false,24
2360360,2022-11-28,removed,left,other,other,picked,other,removed,not_included,Take Charge,true,32
2360360,2022-11-28,other,left,removed,picked,other,removed,other,not_included,DNA,false,18
2360355,2022-11-27,not_included,other,left,removed,picked,other,other,removed,Complexity,true,45
2360355,2022-11-27,not_included,removed,left,other,other,removed,picked,other,EG Black,false,41
2360359,2022-11-27,other,picked,removed,removed,other,left,other,not_included,Take Flyte,true,32
2360359,2022-11-27,removed,other,other,other,picked,left,removed,not_included,X13,false,10
2360344,2022-11-27,removed,picked,left,other,other,other,removed,not_included,Sprout,true,32
2360344,2022-11-27,other,other,left,picked,removed,removed,other,not_included,ONYX Talents,false,13
2360354,2022-11-27,not_included,removed,other,left,removed,other,other,picked,ATK,true,32
2360354,2022-11-27,not_included,other,removed,left,other,picked,removed,other,MIBR,false,25
2360327,2022-11-27,picked,removed,other,left,other,other,removed,not_included,FUSION,true,43
2360327,2022-11-27,other,other,picked,left,removed,removed,other,not_included,Hype,false,38
2360328,2022-11-27,,,,,,,,,Boca Juniors,true,0
2360328,2022-11-27,,,,,,,,,Sharks,false,0
2360348,2022-11-27,picked,removed,other,other,left,removed,other,not_included,FTW,true,53
2360348,2022-11-27,other,other,picked,removed,left,other,removed,not_included,SAW,false,52
2360343,2022-11-27,left,other,other,picked,removed,other,removed,not_included,ONYX Talents,true,52
2360343,2022-11-27,left,picked,removed,other,other,removed,other,not_included,cowana,false,43
2360330,2022-11-27,other,picked,removed,other,other,left,removed,not_included,ThunderFlash,true,41
2360330,2022-11-27,removed,other,other,removed,picked,left,other,not_included,los kogutos,false,34
2360059,2022-11-27,removed,other,picked,other,removed,other,left,not_included,Heroic,true,47
2360059,2022-11-27,other,removed,other,picked,other,removed,left,not_included,FaZe,false,43
2360316,2022-11-27,picked,left,other,removed,other,other,removed,not_included,ex-Finest,true,35
2360316,2022-11-27,other,left,removed,other,removed,picked,other,not_included,ECLOT,false,28
2360356,2022-11-27,not_included,other,removed,removed,left,picked,other,other,NAVI Javelins,true,38
2360356,2022-11-27,not_included,picked,other,other,left,other,removed,removed,Flames Shieldmaidens,false,30
2360346,2022-11-27,left,other,removed,removed,other,other,picked,not_included,Monte,true,35
2360346,2022-11-27,left,removed,other,other,removed,picked,other,not_included,9 Pandas,false,30
2360376,2022-11-27,removed,other,other,removed,picked,left,other,not_included,EC Brugge,true,35
2360376,2022-11-27,other,removed,removed,other,other,left,picked,not_included,Infinite,false,19
2360326,2022-11-27,other,picked,other,left,removed,removed,other,not_included,FURIA Academy,true,32
2360326,2022-11-27,picked,other,removed,left,other,other,removed,not_included,SWS,false,21
2360341,2022-11-27,picked,removed,removed,left,other,other,other,not_included,Partizan,true,32
2360341,2022-11-27,other,other,other,left,removed,picked,removed,not_included,iNation,false,9
2360315,2022-11-27,removed,removed,left,picked,other,other,other,not_included,Endpoint,true,32
2360315,2022-11-27,other,other,left,other,removed,picked,removed,not_included,MASONIC,false,20
2360342,2022-11-27,other,other,other,picked,removed,left,removed,not_included,ALTERNATE aTTaX,true,43
2360342,2022-11-27,removed,removed,picked,other,other,left,other,not_included,Sprout,false,42
2360329,2022-11-27,removed,left,other,other,picked,other,removed,not_included,PACT,true,32
2360329,2022-11-27,other,left,removed,picked,other,removed,other,not_included,Forsaken,false,14
2360345,2022-11-27,picked,removed,removed,other,other,other,left,not_included,9 Pandas,true,32
2360345,2022-11-27,other,other,other,removed,removed,picked,left,not_included,HOTU,false,28
2360336,2022-11-27,other,removed,removed,picked,other,left,other,not_included,Infinite,true,40
2360336,2022-11-27,removed,other,other,other,removed,left,picked,not_included,Cryptova,false,42
2360246,2022-11-27,removed,other,left,other,removed,picked,other,not_included,Nigma Galaxy,true,32
2360246,2022-11-27,other,removed,left,removed,other,other,picked,not_included,FURIA fe,false,19
2360347,2022-11-27,other,left,removed,other,picked,other,removed,not_included,FTW,true,32
2360347,2022-11-27,removed,left,other,picked,other,removed,other,not_included,Case,false,27
2360325,2022-11-27,other,removed,removed,left,picked,other,other,not_included,INTZ,true,35
2360325,2022-11-27,removed,other,other,left,other,removed,picked,not_included,MIBR Academy,false,29
2360375,2022-11-27,picked,other,removed,other,left,removed,other,not_included,Nexus,true,32
2360375,2022-11-27,other,removed,other,removed,left,other,picked,not_included,los kogutos,false,16
2360349,2022-11-27,,,,,,,,,BLAST Dream Team,true,16
2360349,2022-11-27,,,,,,,,,Denmark,false,13
2360314,2022-11-27,removed,other,picked,other,left,other,removed,not_included,Into the Breach,true,35
2360314,2022-11-27,other,removed,other,picked,left,removed,other,not_included,forZe,false,25
2360340,2022-11-27,other,other,removed,removed,picked,other,left,not_included,los kogutos,true,45
2360340,2022-11-27,picked,removed,other,other,other,removed,left,not_included,Nemiga,false,26
2360339,2022-11-27,other,picked,other,removed,removed,left,other,not_included,ESTOWNIA,true,42
2360339,2022-11-27,picked,other,removed,other,other,left,removed,not_included,Nexus,false,41
2360245,2022-11-27,removed,left,other,other,removed,picked,other,not_included,Nigma Galaxy,true,32
2360245,2022-11-27,other,left,removed,removed,other,other,picked,not_included,NOFEAR5,false,13
2360244,2022-11-27,other,removed,left,removed,other,other,picked,not_included,FURIA fe,true,32
2360244,2022-11-27,picked,other,left,other,removed,removed,other,not_included,HSG fe,false,16
2360313,2022-11-27,other,other,picked,removed,left,other,removed,not_included,9INE,true,32
2360313,2022-11-27,picked,removed,other,other,left,removed,other,not_included,HAVU,false,17
2360299,2022-11-27,removed,other,picked,left,removed,other,other,not_included,Eclipse,true,41
2360299,2022-11-27,other,removed,other,left,other,picked,removed,not_included,Red Wolves,false,31
2360298,2022-11-27,removed,other,other,other,left,removed,picked,not_included,The Sisterhood,true,35
2360298,2022-11-27,other,removed,removed,picked,left,other,other,not_included,Magic School Bus,false,28
2360297,2022-11-27,removed,picked,removed,other,other,left,other,not_included,Villainous,true,35
2360297,2022-11-27,other,other,other,removed,picked,left,removed,not_included,Take Charge,false,23
2360352,2022-11-27,not_included,removed,other,other,removed,removed,left,other,EG Black,true,16
2360352,2022-11-27,not_included,other,removed,removed,other,other,left,removed,Nouns,false,14
2360351,2022-11-27,not_included,other,other,removed,left,removed,removed,other,MIBR,true,16
2360351,2022-11-27,not_included,removed,removed,other,left,other,other,removed,Vendetta,false,11
2360353,2022-11-27,not_included,removed,left,removed,other,other,removed,other,Complexity,true,16
2360353,2022-11-27,not_included,other,left,other,removed,removed,other,removed,Iron Blood,false,8
2360350,2022-11-27,not_included,other,removed,removed,removed,other,left,other,ATK,true,16
2360350,2022-11-27,not_included,removed,other,other,other,removed,left,removed,TeamOne,false,4
2360338,2022-11-26,removed,other,picked,left,other,removed,other,not_included,Case,true,45
2360338,2022-11-26,other,picked,other,left,removed,other,removed,not_included,GTZ,false,42
2360300,2022-11-26,left,other,removed,other,picked,removed,other,not_included,cowana,true,45
2360300,2022-11-26,left,removed,other,removed,other,other,picked,not_included,Entropy,false,38
2360296,2022-11-26,removed,left,other,picked,other,removed,other,not_included,Detonate,true,32
2360296,2022-11-26,other,left,removed,other,removed,other,picked,not_included,DNA,false,7
2360324,2022-11-26,removed,removed,picked,other,other,left,other,not_included,Paquetá,true,0
2360324,2022-11-26,other,other,other,removed,picked,left,removed,not_included,WINDINGO,false,0
2360323,2022-11-26,other,removed,removed,other,other,picked,left,not_included,Liberty,true,46
2360323,2022-11-26,removed,other,other,removed,picked,other,left,not_included,B4 Academy,false,33
2360058,2022-11-26,other,removed,other,removed,picked,other,left,not_included,FaZe,true,46
2360058,2022-11-26,removed,other,picked,other,other,removed,left,not_included,Ninjas in Pyjamas,false,41
2360285,2022-11-26,picked,other,removed,removed,other,left,other,not_included,Monte,true,32
2360285,2022-11-26,other,removed,other,other,removed,left,picked,not_included,HOTU,false,11
2360282,2022-11-26,removed,other,left,other,other,picked,removed,not_included,ALTERNATE aTTaX,true,45
2360282,2022-11-26,other,removed,left,picked,removed,other,other,not_included,ONYX Talents,false,28
2360337,2022-11-26,other,left,picked,removed,other,other,removed,not_included,SAW,true,46
2360337,2022-11-26,picked,left,other,other,removed,removed,other,not_included,FTW,false,32
2360312,2022-11-26,left,other,other,removed,other,removed,picked,not_included,Illuminar,true,32
2360312,2022-11-26,left,removed,picked,other,removed,other,other,not_included,777,false,24
2360288,2022-11-26,other,removed,left,removed,other,picked,other,not_included,9 Pandas,true,41
2360288,2022-11-26,removed,other,left,other,removed,other,picked,not_included,AVANGAR,false,37
2360258,2022-11-26,other,other,picked,left,other,removed,removed,not_included,iNation,true,43
2360258,2022-11-26,removed,picked,other,left,removed,other,other,not_included,BLUEJAYS,false,37
2360304,2022-11-26,picked,other,removed,other,left,removed,other,not_included,Nexus,true,35
2360304,2022-11-26,other,removed,other,removed,left,other,picked,not_included,los kogutos,false,31
2360057,2022-11-26,removed,left,picked,other,other,other,removed,not_included,Heroic,true,49
2360057,2022-11-26,other,left,other,picked,removed,removed,other,not_included,Liquid,false,38
2360321,2022-11-26,other,removed,other,picked,removed,left,other,not_included,Rehl,true,44
2360321,2022-11-26,removed,other,picked,other,other,left,removed,not_included,Corinthians Academy,false,33
2360243,2022-11-26,picked,other,other,other,removed,removed,left,not_included,HSG fe,true,39
2360243,2022-11-26,other,removed,picked,removed,other,other,left,not_included,CLG Red,false,41
2360311,2022-11-26,other,picked,removed,removed,left,other,other,not_included,Anonymo,true,32
2360311,2022-11-26,picked,other,other,other,left,removed,removed,not_included,Falcons,false,21
2360303,2022-11-26,left,other,removed,other,removed,picked,other,not_included,ESTOWNIA,true,45
2360303,2022-11-26,left,removed,other,removed,other,other,picked,not_included,Nemiga,false,33
2360159,2022-11-26,other,removed,left,removed,other,other,removed,not_included,SAW,true,19
2360159,2022-11-26,removed,other,left,other,removed,removed,other,not_included,GTZ,false,16
2360283,2022-11-26,other,left,other,picked,removed,removed,other,not_included,BIG Academy,true,45
2360283,2022-11-26,removed,left,picked,other,other,other,removed,not_included,Sprout,false,41
2360335,2022-11-26,removed,other,other,other,removed,left,picked,not_included,AVANGAR,true,35
2360335,2022-11-26,other,picked,removed,removed,other,left,other,not_included,EC Brugge,false,27
2360291,2022-11-26,removed,removed,picked,left,other,other,other,not_included,PROSPECTS,true,32
2360291,2022-11-26,other,other,other,left,picked,removed,removed,not_included,Young Ninjas,false,25
2360158,2022-11-26,other,left,removed,removed,other,other,removed,not_included,FTW,true,16
2360158,2022-11-26,removed,left,other,other,removed,removed,other,not_included,Case,false,13
2360310,2022-11-26,removed,other,other,other,left,removed,picked,not_included,eSuba,true,35
2360310,2022-11-26,other,picked,removed,removed,left,other,other,not_included,ECSTATIC,false,23
2360257,2022-11-26,left,removed,removed,picked,other,other,other,not_included,Partizan,true,32
2360257,2022-11-26,left,other,other,other,removed,removed,picked,not_included,GamePub,false,11
2360322,2022-11-26,,,,,,,,,Los Grandes Academy,true,0
2360322,2022-11-26,,,,,,,,,ex-Daotsu,false,0
2360301,2022-11-26,other,other,picked,other,removed,left,removed,not_included,AVANGAR,true,50
2360301,2022-11-26,removed,removed,other,picked,other,left,other,not_included,Cryptova,false,43
2360242,2022-11-26,other,picked,left,other,removed,removed,other,not_included,NOFEAR5,true,32
2360242,2022-11-26,removed,other,left,picked,other,other,removed,not_included,B4 fe,false,14
2360302,2022-11-26,removed,other,other,removed,picked,other,left,not_included,EC Brugge,true,32
2360302,2022-11-26,other,removed,removed,other,other,picked,left,not_included,Infinite,false,16
2360309,2022-11-26,other,removed,other,other,removed,left,picked,not_included,AGO,true,36
2360309,2022-11-26,removed,other,picked,removed,other,left,other,not_included,Tricked,false,33
2360241,2022-11-26,left,other,other,picked,removed,removed,other,not_included,HSG fe,true,32
2360241,2022-11-26,left,removed,removed,other,other,other,picked,not_included,EG Gold,false,7
2360294,2022-11-26,removed,picked,other,other,other,left,removed,not_included,Mad Kings,true,50
2360294,2022-11-26,other,other,picked,removed,removed,left,other,not_included,New Threat,false,46
2360295,2022-11-26,removed,removed,other,other,left,other,picked,not_included,TeamOne,true,32
2360295,2022-11-26,other,other,removed,picked,left,removed,other,not_included,Orion,false,13
2360213,2022-11-26,removed,left,picked,removed,other,other,other,not_included,Iron Blood,true,44
2360213,2022-11-26,other,left,other,other,picked,removed,removed,not_included,MIBR,false,38
2360293,2022-11-26,other,removed,other,picked,removed,other,left,not_included,1 JIN,true,38
2360293,2022-11-26,removed,other,removed,other,other,picked,left,not_included,Take Flyte,false,31
2360274,2022-11-25,picked,other,removed,left,other,removed,other,not_included,Sharks,true,39
2360274,2022-11-25,other,removed,other,left,removed,other,picked,not_included,Paquetá,false,40
2360292,2022-11-25,removed,other,other,picked,left,removed,other,not_included,EG White,true,32
2360292,2022-11-25,other,picked,removed,other,left,other,removed,not_included,X13,false,11
2360056,2022-11-25,removed,other,left,picked,removed,other,other,not_included,Ninjas in Pyjamas,true,51
2360056,2022-11-25,other,removed,left,other,other,removed,picked,not_included,Natus Vincere,false,42
2360254,2022-11-25,other,removed,picked,other,other,left,removed,not_included,PROSPECTS,true,49
2360254,2022-11-25,picked,other,other,removed,removed,left,other,not_included,Lilmix,false,39
2360034,2022-11-25,other,picked,removed,other,other,left,removed,not_included,SAW,true,37
2360034,2022-11-25,removed,other,other,picked,removed,left,other,not_included,Movistar Riders,false,40
2360280,2022-11-25,left,removed,picked,other,removed,other,other,not_included,Entropy,true,45
2360280,2022-11-25,left,other,other,removed,other,picked,removed,not_included,SSP,false,38
